id,name,equipment_type,manufacturer,safety_surface_type,ada_accessible,street_number,street,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1780722587,Able Long Playground,Play Area 2 to 5,Little Tykes,Pour in Place,f,211,Coast Ave,Beechview,4,19,42003192000,5,19,6,4-28,40.4083811,-80.02851994
702514290,North Ave. Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,377,W North Ave,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45452573,-80.01018758
1267038491,Vietnam Veteran's Playground,Slide,Little Tykes,SofSurfaces,f,108,Panther Hollow Rd,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43418465,-79.9443233
14898932,Schenley Overlook Playground,Swing 2 Bays,Little Tykes,SofSurfaces,t,,Overlook Dr,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43212985,-79.94777445
204832406,Schenley Overlook Playground,Slide,Little Tykes,SofSurfaces,f,,Overlook Dr,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43221498,-79.9478172
788191865,Chartiers Playground,Swing 2 Bays,Little Tykes,SofSurfaces,f,1550,Summerdale St,Windgap,2,28,42003563000,5,28,6,1-16,40.45681173,-80.07513098
1387089430,Chartiers Playground,Swing 2 Bays,Little Tykes,SofSurfaces,t,3783,Chartiers Ave,Windgap,2,28,42003563000,5,28,6,1-16,40.45721835,-80.07507026
1838217886,Chartiers Playground,Play Area 2 to 5,Little Tykes,SofSurfaces,f,3789,Chartiers Ave,Windgap,2,28,42003563000,5,28,6,1-16,40.45732948,-80.07514536
1315630398,Chartiers Playground,Play Area 5 to 12,Little Tykes,SofSurfaces,f,1544,Summerdale St,Windgap,2,28,42003563000,5,28,6,1-16,40.45668138,-80.07501933
1603952265,Chartiers Playground,Whirl,,SofSurfaces,f,1548,Summerdale St,Windgap,2,28,42003563000,5,28,6,1-16,40.45697029,-80.0751105
1811257536,Cross and Strauss Playground,Swing 2 Bays,Little Tykes,Pour in Place,t,,Cross St,Perry South,6,26,42003261400,1,26,1,1-12,40.465189,-80.0201731
59873822,Cross and Strauss Playground,Play Area 5 to 12,Little Tykes,Pour in Place,f,,Cross St,Perry South,6,26,42003261400,1,26,1,1-12,40.46519648,-80.02001257
222814256,North Ave. Playground,Play Area 2 to 5,Playworld,SofSurfaces,f,357,W North Ave,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45455617,-80.01010838
171493185,Cross and Strauss Playground,Whirl,Gametime,Pour in Place,f,,Cross St,Perry South,6,26,42003261400,1,26,1,1-12,40.46508586,-80.02008678
